HP_ID,H_ID,P_ID,W_ID,W_RBW,W_DETAIL,wegkm,wegkm_imp,source_distance_status,km_routing,routing_distance_status,bus28_zo,tram28_zo,bahn28_zo,min_ozmz_zo,destination_context_status,exact_od_location_status,RegioStaR17,RegioStaR7,RegioStaR4,RegioStaR2,RegioStaRGem7,RegioStaRGem5,residential_geography_interpretation
5507551,5507550.0,1,8,0,202,0.1,0.1,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507551,5507550.0,1,101,1,202,2.45,2.45,RBW_AGGREGATE_DERIVED_DISTANCE,70701.0,ROUTING_RBW_NOT_DETERMINABLE,701,701,701,701,DEST_CONTEXT_RBW_NOT_DETERMINABLE,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507551,5507550.0,1,102,1,202,2.45,2.45,RBW_AGGREGATE_DERIVED_DISTANCE,70701.0,ROUTING_RBW_NOT_DETERMINABLE,701,701,701,701,DEST_CONTEXT_RBW_NOT_DETERMINABLE,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,1,0,202,4.9,4.9,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,2,0,202,2.74,2.74,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,1,3,3,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,3,0,202,2.65,2.65,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,4,0,202,1.96,1.96,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,5,0,202,1.96,1.96,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,6,0,202,2.65,2.65,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,7,0,202,2.74,2.74,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,1,1,1,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,101,1,202,4.9,4.9,RBW_AGGREGATE_DERIVED_DISTANCE,70701.0,ROUTING_RBW_NOT_DETERMINABLE,701,701,701,701,DEST_CONTEXT_RBW_NOT_DETERMINABLE,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507552,5507550.0,2,102,1,202,4.9,4.9,RBW_AGGREGATE_DERIVED_DISTANCE,70701.0,ROUTING_RBW_NOT_DETERMINABLE,701,701,701,701,DEST_CONTEXT_RBW_NOT_DETERMINABLE,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507553,5507550.0,3,1,0,202,0.49,0.49,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507553,5507550.0,3,2,0,202,63.0,63.0,DIRECT_SOURCE_DISTANCE_VALID,9995.0,ROUTING_NOT_COMPUTABLE,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507553,5507550.0,3,3,0,202,9.0,9.0,DIRECT_SOURCE_DISTANCE_VALID,9995.0,ROUTING_NOT_COMPUTABLE,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507553,5507550.0,3,4,0,202,0.49,0.49,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,1,1,1,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507553,5507550.0,3,5,0,202,0.1,0.1,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,95,95,95,95,DEST_CONTEXT_UNASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5507553,5507550.0,3,6,0,202,0.1,0.1,DIRECT_SOURCE_DISTANCE_VALID,70706.0,ROUTING_NOT_APPLICABLE_NO_AUTO_PT,1,1,1,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5510281,5510280.0,1,1,0,1,2.7,2.7,DIRECT_SOURCE_DISTANCE_VALID,3.013,ROUTED_DISTANCE_AVAILABLE,1,1,3,1,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5510281,5510280.0,1,2,0,1,2.7,2.7,DIRECT_SOURCE_DISTANCE_VALID,3.013,ROUTED_DISTANCE_AVAILABLE,2,2,3,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
5510281,5510280.0,1,3,0,1,5.4,5.4,DIRECT_SOURCE_DISTANCE_VALID,20.261,ROUTED_DISTANCE_AVAILABLE,2,5,4,2,DEST_CONTEXT_ASSIGNED,NOT_EXPOSED_IN_B1_STANDARD,111,71,11,1,71,51,RESIDENT_CONTEXT_NOT_TRIP_DESTINATION
