HP_ID,H_ID,P_ID,W_ID,W_RBW,W_SZ,W_SZS,W_SZM,W_AZ,W_AZS,W_AZM,W_FOLGETAG,wegmin,start_time_valid,arrival_time_valid,departure_clock_minute,arrival_clock_minute,arrival_day_offset,arrival_absolute_minute,duration_from_clock_min,clock_duration_plausible,duration_exactly_matches_wegmin,temporal_row_status,W_GEW
5550282,5550280.0,2,3,0,15:00:00,15,0,17:00:00,17,0,0,120,True,True,900.0,1020.0,0.0,1020.0,120.0,True,True,DIRECT_TEMPORAL_VALID,4.69181017240656
5550282,5550280.0,2,4,0,17:00:00,17,0,18:00:00,18,0,0,60,True,True,1020.0,1080.0,0.0,1080.0,60.0,True,True,DIRECT_TEMPORAL_VALID,4.69181017240656
5551851,5551850.0,1,1,0,9:00:00,9,0,9:05:00,9,5,0,5,True,True,540.0,545.0,0.0,545.0,5.0,True,True,DIRECT_TEMPORAL_VALID,4.88405795170932
5551851,5551850.0,1,2,0,9:05:00,9,5,9:10:00,9,10,0,5,True,True,545.0,550.0,0.0,550.0,5.0,True,True,DIRECT_TEMPORAL_VALID,4.88405795170932
5551851,5551850.0,1,3,0,9:45:00,9,45,9:50:00,9,50,0,5,True,True,585.0,590.0,0.0,590.0,5.0,True,True,DIRECT_TEMPORAL_VALID,4.88405795170932
5551851,5551850.0,1,4,0,10:15:00,10,15,10:20:00,10,20,0,5,True,True,615.0,620.0,0.0,620.0,5.0,True,True,DIRECT_TEMPORAL_VALID,4.88405795170932
5561591,5561590.0,1,1,0,6:30:00,6,30,7:00:00,7,0,0,30,True,True,390.0,420.0,0.0,420.0,30.0,True,True,DIRECT_TEMPORAL_VALID,3.64582931106803
5561591,5561590.0,1,2,0,15:50:00,15,50,16:50:00,16,50,0,60,True,True,950.0,1010.0,0.0,1010.0,60.0,True,True,DIRECT_TEMPORAL_VALID,3.64582931106803
5561591,5561590.0,1,3,0,17:15:00,17,15,17:55:00,17,55,0,40,True,True,1035.0,1075.0,0.0,1075.0,40.0,True,True,DIRECT_TEMPORAL_VALID,3.64582931106803
5561591,5561590.0,1,4,0,19:00:00,19,0,19:45:00,19,45,0,45,True,True,1140.0,1185.0,0.0,1185.0,45.0,True,True,DIRECT_TEMPORAL_VALID,3.64582931106803
5561821,5561820.0,1,1,0,8:10:00,8,10,11:30:00,11,30,0,200,True,True,490.0,690.0,0.0,690.0,200.0,True,True,DIRECT_TEMPORAL_VALID,2.27186511546359
5561821,5561820.0,1,2,0,15:00:00,15,0,19:30:00,19,30,0,270,True,True,900.0,1170.0,0.0,1170.0,270.0,True,True,DIRECT_TEMPORAL_VALID,2.27186511546359
5561822,5561820.0,2,1,0,8:10:00,8,10,11:30:00,11,30,0,200,True,True,490.0,690.0,0.0,690.0,200.0,True,True,DIRECT_TEMPORAL_VALID,2.15184993915892
5561822,5561820.0,2,2,0,15:00:00,15,0,19:30:00,19,30,0,270,True,True,900.0,1170.0,0.0,1170.0,270.0,True,True,DIRECT_TEMPORAL_VALID,2.15184993915892
5567421,5567420.0,1,1,0,8:55:00,8,55,10:05:00,10,5,0,70,True,True,535.0,605.0,0.0,605.0,70.0,True,True,DIRECT_TEMPORAL_VALID,4.16899735997648
5567421,5567420.0,1,2,0,14:10:00,14,10,15:15:00,15,15,0,65,True,True,850.0,915.0,0.0,915.0,65.0,True,True,DIRECT_TEMPORAL_VALID,4.16899735997648
5567421,5567420.0,1,3,0,15:45:00,15,45,15:50:00,15,50,0,5,True,True,945.0,950.0,0.0,950.0,5.0,True,True,DIRECT_TEMPORAL_VALID,4.16899735997648
5567422,5567420.0,2,1,0,9:15:00,9,15,9:45:00,9,45,0,30,True,True,555.0,585.0,0.0,585.0,30.0,True,True,DIRECT_TEMPORAL_VALID,2.64894962923994
5567422,5567420.0,2,2,0,10:05:00,10,5,11:40:00,11,40,0,95,True,True,605.0,700.0,0.0,700.0,95.0,True,True,DIRECT_TEMPORAL_VALID,2.64894962923994
5567422,5567420.0,2,3,0,10:45:00,10,45,10:05:00,10,5,0,9994,True,True,645.0,605.0,0.0,605.0,-40.0,False,False,DIRECT_DURATION_IMPLAUSIBLE,2.64894962923994
5567422,5567420.0,2,4,0,13:45:00,13,45,14:35:00,14,35,0,50,True,True,825.0,875.0,0.0,875.0,50.0,True,True,DIRECT_TEMPORAL_VALID,2.64894962923994
5567422,5567420.0,2,5,0,16:45:00,16,45,17:30:00,17,30,0,45,True,True,1005.0,1050.0,0.0,1050.0,45.0,True,True,DIRECT_TEMPORAL_VALID,2.64894962923994
5567422,5567420.0,2,6,0,18:15:00,18,15,18:25:00,18,25,0,10,True,True,1095.0,1105.0,0.0,1105.0,10.0,True,True,DIRECT_TEMPORAL_VALID,2.64894962923994
5567422,5567420.0,2,7,0,20:10:00,20,10,20:20:00,20,20,0,10,True,True,1210.0,1220.0,0.0,1220.0,10.0,True,True,DIRECT_TEMPORAL_VALID,2.64894962923994
5567423,5567420.0,3,1,0,7:30:00,7,30,8:05:00,8,5,0,35,True,True,450.0,485.0,0.0,485.0,35.0,True,True,DIRECT_TEMPORAL_VALID,2.78556265184555
5567423,5567420.0,3,2,0,16:30:00,16,30,17:05:00,17,5,0,35,True,True,990.0,1025.0,0.0,1025.0,35.0,True,True,DIRECT_TEMPORAL_VALID,2.78556265184555
5579671,5579670.0,1,1,0,7:15:00,7,15,8:05:00,8,5,0,50,True,True,435.0,485.0,0.0,485.0,50.0,True,True,DIRECT_TEMPORAL_VALID,1.26839610430105
5579671,5579670.0,1,2,0,18:00:00,18,0,19:00:00,19,0,0,60,True,True,1080.0,1140.0,0.0,1140.0,60.0,True,True,DIRECT_TEMPORAL_VALID,1.26839610430105
5579673,5579670.0,3,1,0,12:00:00,12,0,12:45:00,12,45,0,45,True,True,720.0,765.0,0.0,765.0,45.0,True,True,DIRECT_TEMPORAL_VALID,4.17859770665048
5579673,5579670.0,3,2,0,14:00:00,14,0,14:45:00,14,45,0,45,True,True,840.0,885.0,0.0,885.0,45.0,True,True,DIRECT_TEMPORAL_VALID,4.17859770665048
5579674,5579670.0,4,1,0,7:25:00,7,25,7:55:00,7,55,0,30,True,True,445.0,475.0,0.0,475.0,30.0,True,True,DIRECT_TEMPORAL_VALID,2.5994867323661
5579674,5579670.0,4,2,0,15:00:00,15,0,15:30:00,15,30,0,30,True,True,900.0,930.0,0.0,930.0,30.0,True,True,DIRECT_TEMPORAL_VALID,2.5994867323661
5583441,5583440.0,1,1,0,6:30:00,6,30,7:00:00,7,0,0,30,True,True,390.0,420.0,0.0,420.0,30.0,True,True,DIRECT_TEMPORAL_VALID,4.64585905953699
5583441,5583440.0,1,2,0,15:00:00,15,0,15:15:00,15,15,0,15,True,True,900.0,915.0,0.0,915.0,15.0,True,True,DIRECT_TEMPORAL_VALID,4.64585905953699
5583441,5583440.0,1,3,0,15:15:00,15,15,15:30:00,15,30,0,15,True,True,915.0,930.0,0.0,930.0,15.0,True,True,DIRECT_TEMPORAL_VALID,4.64585905953699
5583441,5583440.0,1,4,0,15:30:00,15,30,16:00:00,16,0,0,30,True,True,930.0,960.0,0.0,960.0,30.0,True,True,DIRECT_TEMPORAL_VALID,4.64585905953699
5583441,5583440.0,1,5,0,17:30:00,17,30,18:00:00,18,0,0,30,True,True,1050.0,1080.0,0.0,1080.0,30.0,True,True,DIRECT_TEMPORAL_VALID,4.64585905953699
5583441,5583440.0,1,6,0,18:00:00,18,0,18:30:00,18,30,0,30,True,True,1080.0,1110.0,0.0,1110.0,30.0,True,True,DIRECT_TEMPORAL_VALID,4.64585905953699
5583442,5583440.0,2,1,0,7:15:00,7,15,7:20:00,7,20,0,5,True,True,435.0,440.0,0.0,440.0,5.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,2,0,7:25:00,7,25,7:40:00,7,40,0,15,True,True,445.0,460.0,0.0,460.0,15.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,3,0,7:40:00,7,40,7:45:00,7,45,0,5,True,True,460.0,465.0,0.0,465.0,5.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,4,0,13:30:00,13,30,13:40:00,13,40,0,10,True,True,810.0,820.0,0.0,820.0,10.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,5,0,14:15:00,14,15,14:25:00,14,25,0,10,True,True,855.0,865.0,0.0,865.0,10.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,6,0,14:35:00,14,35,14:45:00,14,45,0,10,True,True,875.0,885.0,0.0,885.0,10.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,7,0,15:10:00,15,10,15:20:00,15,20,0,10,True,True,910.0,920.0,0.0,920.0,10.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,8,0,16:40:00,16,40,16:50:00,16,50,0,10,True,True,1000.0,1010.0,0.0,1010.0,10.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,9,0,17:55:00,17,55,18:10:00,18,10,0,15,True,True,1075.0,1090.0,0.0,1090.0,15.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5583442,5583440.0,2,10,0,18:10:00,18,10,18:15:00,18,15,0,5,True,True,1090.0,1095.0,0.0,1095.0,5.0,True,True,DIRECT_TEMPORAL_VALID,6.58103466441216
5589001,5589000.0,1,1,0,8:10:00,8,10,8:25:00,8,25,0,15,True,True,490.0,505.0,0.0,505.0,15.0,True,True,DIRECT_TEMPORAL_VALID,4.66373231616935
5589001,5589000.0,1,2,0,19:30:00,19,30,19:50:00,19,50,0,20,True,True,1170.0,1190.0,0.0,1190.0,20.0,True,True,DIRECT_TEMPORAL_VALID,4.66373231616935
5592701,5592700.0,1,1,0,0:30:00,0,30,0:45:00,0,45,0,15,True,True,30.0,45.0,0.0,45.0,15.0,True,True,DIRECT_TEMPORAL_VALID,3.37828445871146
5592701,5592700.0,1,2,0,1:00:00,1,0,1:05:00,1,5,0,5,True,True,60.0,65.0,0.0,65.0,5.0,True,True,DIRECT_TEMPORAL_VALID,3.37828445871146
5592701,5592700.0,1,3,0,1:05:00,1,5,1:25:00,1,25,0,20,True,True,65.0,85.0,0.0,85.0,20.0,True,True,DIRECT_TEMPORAL_VALID,3.37828445871146
5592701,5592700.0,1,4,0,1:25:00,1,25,1:40:00,1,40,0,15,True,True,85.0,100.0,0.0,100.0,15.0,True,True,DIRECT_TEMPORAL_VALID,3.37828445871146
5592701,5592700.0,1,5,0,14:30:00,14,30,15:10:00,15,10,0,40,True,True,870.0,910.0,0.0,910.0,40.0,True,True,DIRECT_TEMPORAL_VALID,3.37828445871146
5592701,5592700.0,1,6,0,15:10:00,15,10,15:50:00,15,50,0,40,True,True,910.0,950.0,0.0,950.0,40.0,True,True,DIRECT_TEMPORAL_VALID,3.37828445871146
5592701,5592700.0,1,7,0,15:50:00,15,50,17:00:00,17,0,0,70,True,True,950.0,1020.0,0.0,1020.0,70.0,True,True,DIRECT_TEMPORAL_VALID,3.37828445871146
5592701,5592700.0,1,8,0,17:00:00,17,0,17:45:00,17,45,0,45,True,True,1020.0,1065.0,0.0,1065.0,45.0,True,True,DIRECT_TEMPORAL_VALID,3.37828445871146
5600161,5600160.0,1,1,0,8:35:00,8,35,8:55:00,8,55,0,20,True,True,515.0,535.0,0.0,535.0,20.0,True,True,DIRECT_TEMPORAL_VALID,3.31182033455938
5600161,5600160.0,1,2,0,12:00:00,12,0,12:30:00,12,30,0,30,True,True,720.0,750.0,0.0,750.0,30.0,True,True,DIRECT_TEMPORAL_VALID,3.31182033455938
5600161,5600160.0,1,3,0,15:05:00,15,5,15:30:00,15,30,0,25,True,True,905.0,930.0,0.0,930.0,25.0,True,True,DIRECT_TEMPORAL_VALID,3.31182033455938
5600161,5600160.0,1,4,0,15:35:00,15,35,16:15:00,16,15,0,40,True,True,935.0,975.0,0.0,975.0,40.0,True,True,DIRECT_TEMPORAL_VALID,3.31182033455938
5600161,5600160.0,1,5,0,15:40:00,15,40,16:15:00,16,15,0,35,True,True,940.0,975.0,0.0,975.0,35.0,True,True,DIRECT_TEMPORAL_VALID,3.31182033455938
5602222,5602220.0,2,1,0,7:30:00,7,30,7:45:00,7,45,0,15,True,True,450.0,465.0,0.0,465.0,15.0,True,True,DIRECT_TEMPORAL_VALID,5.55878389530338
5602222,5602220.0,2,2,0,22:00:00,22,0,22:15:00,22,15,0,15,True,True,1320.0,1335.0,0.0,1335.0,15.0,True,True,DIRECT_TEMPORAL_VALID,5.55878389530338
5602223,5602220.0,3,1,0,6:00:00,6,0,6:15:00,6,15,0,15,True,True,360.0,375.0,0.0,375.0,15.0,True,True,DIRECT_TEMPORAL_VALID,7.2727357321069
5602223,5602220.0,3,2,0,6:48:00,6,48,14:12:00,14,12,0,444,True,True,408.0,852.0,0.0,852.0,444.0,True,True,DIRECT_TEMPORAL_VALID,7.2727357321069
5602223,5602220.0,3,3,0,14:30:00,14,30,14:15:00,14,15,0,9994,True,True,870.0,855.0,0.0,855.0,-15.0,False,False,DIRECT_DURATION_IMPLAUSIBLE,7.2727357321069
5608331,5608330.0,1,1,0,10:00:00,10,0,10:30:00,10,30,0,30,True,True,600.0,630.0,0.0,630.0,30.0,True,True,DIRECT_TEMPORAL_VALID,1.96238731724903
5608331,5608330.0,1,2,0,13:40:00,13,40,14:10:00,14,10,0,30,True,True,820.0,850.0,0.0,850.0,30.0,True,True,DIRECT_TEMPORAL_VALID,1.96238731724903
5608332,5608330.0,2,1,0,15:30:00,15,30,15:50:00,15,50,0,20,True,True,930.0,950.0,0.0,950.0,20.0,True,True,DIRECT_TEMPORAL_VALID,1.70395645741778
5608332,5608330.0,2,2,0,16:00:00,16,0,16:20:00,16,20,0,20,True,True,960.0,980.0,0.0,980.0,20.0,True,True,DIRECT_TEMPORAL_VALID,1.70395645741778
5611481,5611480.0,1,1,0,9:40:00,9,40,10:40:00,10,40,0,60,True,True,580.0,640.0,0.0,640.0,60.0,True,True,DIRECT_TEMPORAL_VALID,1.45600293754286
5611481,5611480.0,1,2,0,14:15:00,14,15,14:45:00,14,45,0,30,True,True,855.0,885.0,0.0,885.0,30.0,True,True,DIRECT_TEMPORAL_VALID,1.45600293754286
5611481,5611480.0,1,3,0,15:30:00,15,30,15:45:00,15,45,0,15,True,True,930.0,945.0,0.0,945.0,15.0,True,True,DIRECT_TEMPORAL_VALID,1.45600293754286
