HP_ID,n_direct_trips,all_direct_transitions_resolved,first_origin_activity,has_source_unknown_purpose,has_unresolved_return,chain_coverage_status,full_functional_day_sequence_eligible
21749483.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
21749484.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
21855581.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
21855582.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
21855583.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
21855584.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
21906261.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22274631.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22274632.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22274633.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22346911.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22525951.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22525952.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22623381.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22781921.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22781922.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22781923.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22786681.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22790801.0,10,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22950141.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
22950142.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23256871.0,8,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23256872.0,5,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23256873.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23256874.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23283941.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23740631.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23740632.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23860261.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23860262.0,2,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
23944791.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24186812.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24376661.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24386701.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24386702.0,4,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24539561.0,3,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
24539562.0,6,True,HOME,False,False,DIRECT_REPORTED_CHAIN_COMPLETE,True
