geography_level,geography_id,geography_name,statistical_population_available,statistical_household_available,resident_total_raw,resident_total,resident_total_quality_flag,private_households_total_raw,private_households_total,private_households_total_quality_flag,hh1_raw,hh1,hh1_quality_flag,hh2_raw,hh2,hh2_quality_flag,hh3_raw,hh3,hh3_quality_flag,hh4_raw,hh4,hh4_quality_flag,hh5_raw,hh5,hh5_quality_flag,hh6plus_raw,hh6plus,hh6plus_quality_flag,private_person_lower_bound_from_hhsize,resident_minus_private_lower_bound,residual_sign,residual_valid_as_exact_nonprivate_count,residual_interpretation,n_disclosure_adjusted_zero_cells_relevant
PLR,01200521,Zwinglistraße,True,True,4.684,4684,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.743,2743,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.779,1779,NORMAL_DISCLOSURE_CONTROLLED_COUNT,486,486,NORMAL_DISCLOSURE_CONTROLLED_COUNT,225,225,NORMAL_DISCLOSURE_CONTROLLED_COUNT,118,118,NORMAL_DISCLOSURE_CONTROLLED_COUNT,62,62,NORMAL_DISCLOSURE_CONTROLLED_COUNT,65,65,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4598,86,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200522,Elberfelder Straße,True,True,10.867,10867,NORMAL_DISCLOSURE_CONTROLLED_COUNT,6.636,6636,NORMAL_DISCLOSURE_CONTROLLED_COUNT,4.368,4368,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.259,1259,NORMAL_DISCLOSURE_CONTROLLED_COUNT,525,525,NORMAL_DISCLOSURE_CONTROLLED_COUNT,332,332,NORMAL_DISCLOSURE_CONTROLLED_COUNT,81,81,NORMAL_DISCLOSURE_CONTROLLED_COUNT,75,75,NORMAL_DISCLOSURE_CONTROLLED_COUNT,10644,223,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200623,Stephankiez,True,True,9.947,9947,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5.895,5895,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.899,3899,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.009,1009,NORMAL_DISCLOSURE_CONTROLLED_COUNT,497,497,NORMAL_DISCLOSURE_CONTROLLED_COUNT,293,293,NORMAL_DISCLOSURE_CONTROLLED_COUNT,103,103,NORMAL_DISCLOSURE_CONTROLLED_COUNT,98,98,NORMAL_DISCLOSURE_CONTROLLED_COUNT,9683,264,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200624,Heidestraße,True,True,5.963,5963,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.159,3159,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.693,1693,NORMAL_DISCLOSURE_CONTROLLED_COUNT,785,785,NORMAL_DISCLOSURE_CONTROLLED_COUNT,358,358,NORMAL_DISCLOSURE_CONTROLLED_COUNT,204,204,NORMAL_DISCLOSURE_CONTROLLED_COUNT,64,64,NORMAL_DISCLOSURE_CONTROLLED_COUNT,57,57,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5815,148,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200625,Lübecker Straße,True,True,6.244,6244,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.305,3305,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.022,2022,NORMAL_DISCLOSURE_CONTROLLED_COUNT,554,554,NORMAL_DISCLOSURE_CONTROLLED_COUNT,307,307,NORMAL_DISCLOSURE_CONTROLLED_COUNT,225,225,NORMAL_DISCLOSURE_CONTROLLED_COUNT,103,103,NORMAL_DISCLOSURE_CONTROLLED_COUNT,96,96,NORMAL_DISCLOSURE_CONTROLLED_COUNT,6042,202,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200626,Thomasiusstraße,True,True,5.941,5941,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.362,3362,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.299,2299,NORMAL_DISCLOSURE_CONTROLLED_COUNT,551,551,NORMAL_DISCLOSURE_CONTROLLED_COUNT,230,230,NORMAL_DISCLOSURE_CONTROLLED_COUNT,190,190,NORMAL_DISCLOSURE_CONTROLLED_COUNT,53,53,NORMAL_DISCLOSURE_CONTROLLED_COUNT,41,41,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5362,579,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200627,Zillesiedlung,True,True,2.943,2943,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.286,1286,NORMAL_DISCLOSURE_CONTROLLED_COUNT,593,593,NORMAL_DISCLOSURE_CONTROLLED_COUNT,304,304,NORMAL_DISCLOSURE_CONTROLLED_COUNT,143,143,NORMAL_DISCLOSURE_CONTROLLED_COUNT,125,125,NORMAL_DISCLOSURE_CONTROLLED_COUNT,80,80,NORMAL_DISCLOSURE_CONTROLLED_COUNT,42,42,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2782,161,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200628,Lüneburger Straße,True,True,3.124,3124,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.121,2121,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.493,1493,NORMAL_DISCLOSURE_CONTROLLED_COUNT,313,313,NORMAL_DISCLOSURE_CONTROLLED_COUNT,160,160,NORMAL_DISCLOSURE_CONTROLLED_COUNT,105,105,NORMAL_DISCLOSURE_CONTROLLED_COUNT,28,28,NORMAL_DISCLOSURE_CONTROLLED_COUNT,18,18,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3267,-143,NEGATIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01200629,Hansaviertel,True,True,5.575,5575,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.759,3759,NORMAL_DISCLOSURE_CONTROLLED_COUNT,2.769,2769,NORMAL_DISCLOSURE_CONTROLLED_COUNT,619,619,NORMAL_DISCLOSURE_CONTROLLED_COUNT,199,199,NORMAL_DISCLOSURE_CONTROLLED_COUNT,114,114,NORMAL_DISCLOSURE_CONTROLLED_COUNT,32,32,NORMAL_DISCLOSURE_CONTROLLED_COUNT,24,24,NORMAL_DISCLOSURE_CONTROLLED_COUNT,5364,211,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
PLR,01300730,Drontheimer Straße,True,True,6.908,6908,NORMAL_DISCLOSURE_CONTROLLED_COUNT,3.136,3136,NORMAL_DISCLOSURE_CONTROLLED_COUNT,1.794,1794,NORMAL_DISCLOSURE_CONTROLLED_COUNT,578,578,NORMAL_DISCLOSURE_CONTROLLED_COUNT,306,306,NORMAL_DISCLOSURE_CONTROLLED_COUNT,220,220,NORMAL_DISCLOSURE_CONTROLLED_COUNT,104,104,NORMAL_DISCLOSURE_CONTROLLED_COUNT,134,134,NORMAL_DISCLOSURE_CONTROLLED_COUNT,6072,836,POSITIVE,False,"NOT_EXACT: mixes >6 members, non-private residents, and independently disclosure-controlled marginals",0
