metric_id,dimension,dataset,category,share
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,12,0.07009479995253287
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,13,0.07156040320841384
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,14,0.07611912783738355
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,15,0.09383306814324612
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,16,0.09905427869254249
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,17,0.06884909592766622
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,18,0.061912223817547636
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,19,0.04548215648993994
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,2,0.00043366071395138406
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,20,0.021231418658938
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,21,0.02183701545350991
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,22,0.014350363218275293
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,23,0.009050404939547164
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,4,0.0027357131138278177
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,5,0.0074588394161850405
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,6,0.018980824524743964
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,7,0.06702495239646347
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,8,0.0723452654761305
M2-TIME-01,departure_hour,REF_FULLDAY_POOL_TRIPS,9,0.05938009424060446
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,0,0.0005759628092586021
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,1,0.0008536591637225711
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,10,0.06284165651017963
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,11,0.05960186570809999
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,12,0.07347125585605044
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,13,0.07154795147513332
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,14,0.07511686388250359
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,15,0.08671840046899829
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,16,0.0940413561867148
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,17,0.0696709298199602
M2-TIME-01,departure_hour,D_REPLAY_EXACT_V1,18,0.06651341941920322
