metric_id,group_dimension,group_value,variant,source_n,synthetic_n,reference_value,value,delta,unit,support_status
M2-COND-01,primary_activity_status,STUDENT,D_MATCH_FULLDAY_V1,81,4483,0.8980662132937545,0.857461521302699,-0.04060469199105543,share,OK
M2-COND-01,primary_activity_status,UNEMPLOYED,D_REPLAY_EXACT_V1,34,1903,0.8513723929260255,0.9090909090909091,0.05771851616488355,share,OK
M2-COND-01,primary_activity_status,UNEMPLOYED,D_MATCH_FULLDAY_V1,34,2004,0.8513723929260255,0.7969061876247505,-0.054466205301274995,share,OK
M2-COND-01,primary_activity_status,UNKNOWN,D_REPLAY_EXACT_V1,2,90,1.0,1.0,0.0,share,LOW_N
M2-COND-01,primary_activity_status,UNKNOWN,D_MATCH_FULLDAY_V1,2,157,1.0,0.8280254777070064,-0.1719745222929936,share,LOW_N
M2-COND-02,primary_activity_status,APPRENTICE,D_REPLAY_EXACT_V1,28,1042,2.733265083676449,3.2351247600767756,0.5018596764003265,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,APPRENTICE,D_MATCH_FULLDAY_V1,28,1353,2.733265083676449,2.4693274205469327,-0.2639376631295165,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,CHILDCARE_INSTITUTION,D_REPLAY_EXACT_V1,70,3259,3.1031386508645227,3.099416999079472,-0.0037216517850504616,trips/person-day,OK
M2-COND-02,primary_activity_status,CHILDCARE_INSTITUTION,D_MATCH_FULLDAY_V1,70,5042,3.1031386508645227,2.918881396271321,-0.18425725459320175,trips/person-day,OK
M2-COND-02,primary_activity_status,CHILD_HOMECARE,D_REPLAY_EXACT_V1,26,1507,2.80004910870981,2.19907100199071,-0.6009781067191002,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,CHILD_HOMECARE,D_MATCH_FULLDAY_V1,26,1835,2.80004910870981,3.653405994550409,0.8533568858405989,trips/person-day,LOW_N
M2-COND-02,primary_activity_status,EMPLOYED_FULL_TIME,D_REPLAY_EXACT_V1,742,30307,3.782375341602614,3.728247599564457,-0.054127742038156956,trips/person-day,OK
M2-COND-02,primary_activity_status,EMPLOYED_FULL_TIME,D_MATCH_FULLDAY_V1,742,36540,3.782375341602614,3.105008210180624,-0.67736713142199,trips/person-day,OK
M2-COND-02,primary_activity_status,EMPLOYED_MARGINAL,D_REPLAY_EXACT_V1,21,655,2.6847264484894793,2.500763358778626,-0.1839630897108533,trips/person-day,LOW_N
